用户名,时间,内容,转发,评论,点赞,转发源作者,转发源
AllforKokiNiwa_丹羽孝希,8小时前,"丹羽孝希 🏓#东京奥运会#

210825 | 奖牌报告会 | 媒体图

Cr. Svenson group",6,14,63,,
三浦祐太朗_YutaroMiura,23小时前,"今天残奥会闭幕式顺利闭幕。这样2020东京奥运会就全部落下帷幕。奥运会期间我们深受各项体育运动的鼓舞、在此謹向所有运动选手们表示崇高的敬意！(祐太朗)
#三浦祐太朗##奥运会##东京奥运会#",4,4,24,,
绝对伏特加,9-3 13:37,"东京奥运会女子马拉松全程
嗯，想看的抓紧看吧，懂的都懂

#东京奥运会# #札幌# #马拉松# @陪你跑 绝对伏特加的微博视频",16,15,33,,
吗熊,9-4 23:29,"探访东京最大规模的奥运纪念品商店。商店位于台场的2020 Fan Park，入场需要在网上预约。
明天东京残奥会闭幕，这家商店也将随即停止营业。赶紧看看这里面都卖些啥。
东京奥运会#围观奥运会# 日本·东京 吗熊的微博视频",6,18,73,,
游北君,7小时前,妹妹们加油,6,2,11,@陕视新闻:,【太精彩！#全红婵第一跳不亚于东京奥运会# 】今天（9月6日）早上十四运会跳水项目正式在西安奥体中心游泳跳水馆开赛！11点，在刚刚开始的女子团体10米跳台比赛中大家期待的奥运冠军全红婵上场，第一跳依然展现了完美的“水花消失术”。#十四运会跳水比赛太精彩# 解说评价这一跳“丝毫不亚于在东京奥运会上的那组动作”。 #全红婵张家齐9月6日亮相十四运会# 陕视新闻的微博视频
曾鹏宇,6小时前,#全红婵带领广东队夺得10米台女团冠军#真厉害啊，才14岁,12,1,34,@中国体育:,"【#全红婵带领广东队夺得10米台女团冠军#】北京时间9月6日中午，在西安奥体中心游泳跳水馆进行的第十四届全运会跳水比赛，结束了女子团体决赛的10米台争夺，东京奥运会10米台冠军、广东队选手@全红婵 以413.90分排名第一，北京队的@张家齐la 400.95分排名第二，上海队的陈芋汐@陈乐乐Diving 393.10分第三。#全红婵十四运会再现水花消失术#
央视网体育的微博视频"
风云学会陈经,7小时前,全红婵第三跳207C最容易崩，59.4分少了30多分。第二跳和第五跳完美。全运会打分比奥运要严格，所以比奥运少了52分。看单人决赛，出个小错还是她冠军。,6,23,80,@中国体育:,"【#全红婵带领广东队夺得10米台女团冠军#】北京时间9月6日中午，在西安奥体中心游泳跳水馆进行的第十四届全运会跳水比赛，结束了女子团体决赛的10米台争夺，东京奥运会10米台冠军、广东队选手@全红婵 以413.90分排名第一，北京队的@张家齐la 400.95分排名第二，上海队的陈芋汐@陈乐乐Diving 393.10分第三。#全红婵十四运会再现水花消失术#
央视网体育的微博视频"
你真是可爱der,9-5 21:25,"全红婵东京奥运会赛后采访
央视频-体坛风云会（7个视频）
采访顺序有调整
————————
可以看到全小婵评价自己
“教练好大个，感觉自己好小只！”😆 你真是可爱der的微博视频",110,94,862,,
大英良心汉弗莱,9-4 11:06,东京奥运会搞完了，菅秘书的使命结束了。传统门阀又回来了，,53,49,984,,
喝红酒,9-5 20:09,"#33届巴黎奥运会#
33届巴黎奥运会也叫做2024年巴黎奥运会，共有32个大项和329个小项。新增加的大项是霹雳舞，取消的大项是棒垒球和空手道。举重、拳击、帆船和帆板项目的设置也有一些变化。

前几天，2024年巴黎奥组委第二次拒绝空手道出现在奥运会上的计划。在不久前结束的东京奥运会上，空手道首次成为奥运会的正式项目。",14,10,22,,
王石,8-13 18:42,听闻奥运会4*100米接力亚军队有人被停赛，中国有望递补奖牌！最好的自己+完美的团队配合，或许转角遇到奖牌。#东京奥运会# 王石的微博视频,11,53,337,,
莪叫蓝姐,8-21 10:15,奥运羽毛球综述——竞技不止胜负 梦想照亮征途#东京奥运会# 莪叫蓝姐的微博视频,15,30,125,,
奥林匹克运动会,8-23 12:30,"【东京奥运会奖牌时刻】阿部诗/阿部一二三 🇯🇵

💪🥋兄妹连心，齐力夺金！阿部兄妹同日摘金的故事，为奥运会的历史再添经典佳话！

#奥运会# ｜#共同强大# 奥林匹克运动会的微博视频",13,11,116,,
奥林匹克运动会,8-24 18:00,"【东京奥运会开幕式精彩回顾】夜空中最亮的《Imagine》🌃

✨1800架无人机组成的地球形状，在传世经典《Imagine》的天籁声中，绘制着奥林匹克人的共同心愿！

#奥运会# ｜#共同强大# 奥林匹克运动会的微博视频",31,14,223,,
新浪羽毛球,8-13 11:23,"#围观奥运会# 数说东京奥运会羽毛球项目（BY bwf世界羽联）

3，991 – 比分总数最多 —— 女子单打。

3，014 – 羽毛球使用总数，仅男子单打项目就使用895粒羽毛球。

395 – 鹰眼系统使用总数，其中男单球员挑战次数最多——总计112次。

293 –王懿律和黄东萍的比赛最为焦灼，他们的比分总数最多并赢得了混合双打项目的金牌。

208 – 东京奥运会羽毛球项目为期10天，在武藏野森林体育馆共举行208场比赛。

172 – 共有172名球员参与2020东京奥运会羽毛球项目的角逐。

121 – 女子单打这一项目中，球员们的比赛局数最多。

101 – 最长的多拍回合是在女子双打四分之一决赛的第三局，波莉/拉哈尤以101拍战胜杜玥/李茵晖。

100 – 耗时最长的一场比赛，同样由波莉/拉哈尤和杜玥/李茵晖带来。

49 – 国家奥委会代表队总数。

38 – 阮天明是本届奥运会年龄最大的参赛者，这也是他连续第四次参加奥运会。

33 – 波莉是本届奥运会年龄最大的金牌获得者。赢得女子双打决赛时距离她的34岁生日只有9天。

19 – 年纪最小的奥运参赛者 – 安洗莹。

8 – 获得奖牌的国家及地区有：中国、中国台北、印度尼西亚、丹麦、印度、日本、马来西亚和韩国。

4– 首次参加奥运会羽毛球项目的国家及地区有阿塞拜疆、马耳他、缅甸和巴基斯坦。

3 – 谌龙集齐了奥运会金银铜三个颜色的奖牌，是继吉永雅之后的第二个达成此成就的球员。",3,39,92,,
央视网体育,8-13 18:02,【杨舒予鞠躬感谢球迷支持】#围观奥运会# 东京奥运会上，中国三人女篮收获铜牌，队中19岁球员、中国女篮国手杨力维的妹妹杨舒予凭借俊俏的外表和高超的球技圈粉无数。为了不影响比赛，杨舒予在比赛期间并没有过多关注球迷的声音。比赛任务结束后，杨舒予鞠躬感谢了球迷对球队和自己的支持。 央视网体育的微博视频,56,32,510,,
奥林匹克运动会,8-31 12:55,"【重温东京奥运会】50秒带你回顾，东京奥运会中国奥运健儿的金牌时刻🥇

#奥运会# | #共同强大# 奥林匹克运动会的微博视频",28,4,166,,
奥林匹克运动会,8-27 08:00,"【周五愉快】2020年东京奥运会上，中国艺术体操队完美演绎了《敦煌飞天》🧚

@郭崎琪GQQ @RG婷婷 @黄张嘉洋-RG @RG-鑫僵僵 @许颜书

让我们一起来欣赏一下吧❤

#奥运会# | #共同强大# 奥林匹克运动会的微博视频",30,20,290,,
央视网体育,8-22 19:19,【重压之下勇夺四金 国乒捍卫国球荣耀】#围观奥运会# 在混双争金失利的情况下，中国乒乓球队顶住巨大压力，拿下男女单、男女团四块金牌，圆满地完成了这次东京奥运会的征战任务。回顾本届奥运会，其中的心酸苦累只有他们自己最清楚... 央视网体育的微博视频,26,32,174,,
奥林匹克运动会,9-1 12:00,"【东京奥运会精彩瞬间】亚当·皮蒂🇬🇧

🏊英国选手亚当·皮蒂被称为“当今世界上蛙泳最快的男人”，让我们一起重温他在东京奥运会中的强势表现吧！

#奥运会# ｜#共同强大# 奥林匹克运动会的微博视频",4,5,45,,
央视网体育,8-22 19:19,【重压之下勇夺四金 国乒捍卫国球荣耀】#围观奥运会# 在混双争金失利的情况下，中国乒乓球队顶住巨大压力，拿下男女单、男女团四块金牌，圆满地完成了这次东京奥运会的征战任务。回顾本届奥运会，其中的心酸苦累只有他们自己最清楚... 央视网体育的微博视频,26,32,174,,
奥林匹克运动会,9-1 12:00,"【东京奥运会精彩瞬间】亚当·皮蒂🇬🇧

🏊英国选手亚当·皮蒂被称为“当今世界上蛙泳最快的男人”，让我们一起重温他在东京奥运会中的强势表现吧！

#奥运会# ｜#共同强大# 奥林匹克运动会的微博视频",4,5,45,,
微博体育,8-11 19:00,#福原爱谈这届东京奥运会的意义# 在@竹内亮导演 的纪录片【《#双面奥运#》：东京2020的60天记录】中，探寻这届东京奥运会举办的意义。@福原愛AiFukuhara 被采访时回答，奥运会的意义就在于能给看到的人带来希望和力量，让他们觉得自己也要加油~#围观奥运会# 微博体育的微博视频,54,38,679,,
BWF世界羽联,8-20 18:00,"谢谢你成为我的对手👍🏻
#东京奥运会##围观奥运会#",6,13,171,,
野望学长,9-2 16:58,"#盘点东京奥运会上的中国技术#

不得不说东京奥运会上的阿里云技术真的太棒了，期待未来中国技术在世界上有更多露脸机会。",319,129,2157,,
莪叫蓝姐,8-16 22:57,#东京奥运会# 女双1/4决赛 金昭映/孔煕容vs松本麻佑/永原和可娜 超清全场 松永错失7赛点遭逆转的名场面网页链接,36,26,122,,
杨力维Yic,9-4 19:18,默不默契都爱彼此@杨舒予YSY,93,450,3970,@央视频:,【#杨舒予杨力维默契度大挑战#】本期#于嘉的隔离日记#中，@于嘉 采访了来自中国女子篮球队的@杨舒予YSY 和@杨力维Yic ，她们在东京奥运会上一同为中国队出战且表现出色，回国隔离期间她们在做什么？姐妹之间的默契度如何？速戳↓（央视频号：于嘉的嘉时赛） 央视频的微博视频
莪叫蓝姐,8-19 21:30,#东京奥运会# 羽毛球男双1/4决赛 谢定峰/苏伟译vs吉迪恩/苏卡穆约 超清全场 谢苏突破心魔一战 莪叫蓝妹的微博视频,49,13,76,,
BWF世界羽联,8-15 12:00,"#东京奥运会#奥运花絮✨

赛场外一些有趣有爱的瞬间📷",7,9,70,,
没事儿瞎吐槽,9-2 16:59,#盘点东京奥运会上的中国技术# 在这次的奥运会上，不仅奥运健儿们大放异彩，咱中国在国际上有了越来越多露脸的机会。人们终于发现在数字化的背后有更多的中国技术。真的是太棒了！,102,98,100,,
蒋丰,9-5 08:17,#蒋丰微观# 1964年东京奥运会后，池田勇人首相辞职了；1972年札幌冬奥会后，佐藤荣作首相辞职了；1998年长野冬奥会后，桥本龙太郎首相辞职了；2020东京奥运会后，菅义伟首相即将辞职！奥运会，就是日本政坛人物的紧箍咒？,5,4,21,,
绿色蒲江,11小时前,【同样的喝彩送给你们！#最强健的体魄和最不屈的灵魂同框了#】从东京奥运会到东京残奥会，运动员们不断超越自我、突破极限。同样的全力奔跑、同样的奋力挥拍、同样的乘风破浪、同样的振臂欢呼……勇敢站上赛场的你们都是中国骄傲。#东奥残奥同步瞬间#↓↓致敬每一份拼搏！谢谢你们，燃起这个夏天！,19,12,11,,
中国共青团网,15小时前,【同样的喝彩送给你们！】#最强健的体魄和最不屈的灵魂同框了#从东京奥运会到东京残奥会，运动员们不断超越自我、突破极限。同样的全力奔跑、同样的奋力挥拍、同样的乘风破浪、同样的振臂欢呼……勇敢站上赛场的你们都是中国骄傲。#东奥残奥同步瞬间#↓↓致敬每一份拼搏！谢谢你们，燃起这个夏天！（人民日报）,19,2,23,,
国资小新,14小时前,【同样的喝彩送给你们！#最强健的体魄和最不屈的灵魂同框了#】从东京奥运会到东京残奥会，运动员们不断超越自我、突破极限。同样的全力奔跑、同样的奋力挥拍、同样的乘风破浪、同样的振臂欢呼……勇敢站上赛场的你们都是中国骄傲。#东奥残奥同步瞬间#↓↓致敬每一份拼搏！谢谢你们，燃起这个夏天！,8,3,30,,
老县城李刚,9-5 07:04,爱上老县城【#中国跳水梦之队三小花亮相长安鼎#】西安奥体中心跳水馆长安鼎对于中国跳水梦之队三小花全红婵、陈芋汐、张家齐以及谢思埸、曹缘等东京奥运会冠军来说并不陌生，#相约大西安精彩十四运# 今年3月，他们都曾在这里参加首场测试赛。北京队奶声奶气的张家齐是@全红婵 在本届全运会上最大挑战，全红婵还将面对陈芋汐、任茜、卢为和掌敏杰等实力小将全力阻击。近日赛前训练中，重庆队施廷懋、北京队曹缘等奥运名将悉数亮相。 西安电视台官方微博的微博视频,48,11,50,,
中国宣汉,9-3 20:04,"#宣汉新闻#刚刚过去不久的东京奥运会
不少高燃瞬间让人热血沸腾
正在进行的东京残奥会
同样在不断上演着精彩与感动
一张张写满刚毅的脸
一个个顽强拼搏的身躯
一个个彼此温暖的举动
定格下许多触动人心的瞬间东京残奥会上的宣汉身影",5,4,5,,
武侯发布,15小时前,【同样的喝彩送给你们！#最强健的体魄和最不屈的灵魂同框了#】从东京奥运会到东京残奥会，运动员们不断超越自我、突破极限。同样的全力奔跑、同样的奋力挥拍、同样的乘风破浪、同样的振臂欢呼……勇敢站上赛场的你们都是中国骄傲。#东奥残奥同步瞬间#↓↓致敬每一份拼搏！谢谢你们，燃起这个夏天！,13,3,4,,
瑞安发布,12小时前,【同样的喝彩送给你们！#最强健的体魄和最不屈的灵魂同框了#】#民生汇#从东京奥运会到东京残奥会，运动员们不断超越自我、突破极限。同样的全力奔跑、同样的奋力挥拍、同样的乘风破浪、同样的振臂欢呼……勇敢站上赛场的你们都是中国骄傲。#东奥残奥同步瞬间#↓↓致敬每一份拼搏！谢谢你们，燃起这个夏天！via人民日报,101,0,163,,
南铁宜春车务段,3小时前,#宜车微视角# 【同样的喝彩送给你们！#最强健的体魄和最不屈的灵魂同框了#】从东京奥运会到东京残奥会，运动员们不断超越自我、突破极限。同样的全力奔跑、同样的奋力挥拍、同样的乘风破浪、同样的振臂欢呼……勇敢站上赛场的你们都是中国骄傲。#东奥残奥同步瞬间#↓↓致敬每一份拼搏！谢谢你们，燃起这个夏天！,4,2,4,,
南昌发布,10小时前,【同样的喝彩送给你们！#最强健的体魄和最不屈的灵魂同框了#】从东京奥运会到东京残奥会，运动员们不断超越自我、突破极限。同样的全力奔跑、同样的奋力挥拍、同样的乘风破浪、同样的振臂欢呼……勇敢站上赛场的你们都是中国骄傲。#东奥残奥同步瞬间#↓↓致敬每一份拼搏！谢谢你们，燃起这个夏天！,9,1,3,,
奥林匹克运动会,9-1 18:45,"【🧻纸巾预警】今天，@郎平 正式卸任中国女排主教练。让我们一同回顾在东京奥运会中属于她的谢幕时刻😢

❤️祝福她，在未来的路途中一帆风顺！

#奥运会# ｜#共同强大# 奥林匹克运动会的微博视频",50,40,503,,
奥林匹克运动会,8-31 09:00,"五年磨砺，终圆卫冕之梦💦

🎂今天是中国跳水队@施廷懋懋 的生日！在东京奥运会中，施廷懋如愿卫冕女子3米板冠军。让我们一起祝她生日快乐！

#奥运会# ｜#共同强大# 奥林匹克运动会的微博视频",25,52,630,,
笑话糗事精选,9-2 17:03,"#盘点东京奥运会上的中国技术# 太厉害了👍
真的是太开心了，没想到中国科技在世界舞台上的作用越来越显著，东京奥运会的数字化背后靠的是我国技术的参与和支持，未来继续加油啊！",103,99,112,,
奥林匹克运动会,8-31 12:55,"【重温东京奥运会】50秒带你回顾，东京奥运会中国奥运健儿的金牌时刻🥇

#奥运会# | #共同强大# 奥林匹克运动会的微博视频",28,4,166,,
奥林匹克运动会,9-1 12:00,"【东京奥运会精彩瞬间】亚当·皮蒂🇬🇧

🏊英国选手亚当·皮蒂被称为“当今世界上蛙泳最快的男人”，让我们一起重温他在东京奥运会中的强势表现吧！

#奥运会# ｜#共同强大# 奥林匹克运动会的微博视频",4,5,45,,
野望学长,9-2 16:58,"#盘点东京奥运会上的中国技术#

不得不说东京奥运会上的阿里云技术真的太棒了，期待未来中国技术在世界上有更多露脸机会。",319,129,2157,,
没事儿瞎吐槽,9-2 16:59,#盘点东京奥运会上的中国技术# 在这次的奥运会上，不仅奥运健儿们大放异彩，咱中国在国际上有了越来越多露脸的机会。人们终于发现在数字化的背后有更多的中国技术。真的是太棒了！,102,98,100,,
奥林匹克运动会,9-2 18:00,"【东京奥运中国夺金之路回顾】第4⃣️金：女子双人3米板 施廷懋/王涵

初心不改，历久弥坚！

#奥运会# ｜#共同强大# 奥林匹克运动会的微博视频",15,10,240,,
半月谈,9-2 16:09,#盘点东京奥运会上的中国技术#残奥会开始倒数，东京奥运也将进入尾声。本届奥运会上，不仅中国健儿大放异彩，中国技术也表现亮眼，出现在奥运赛事的各个环节。阿里云和奥林匹克广播服务公司联手打造的转播云在本届奥运上投入使用，作为首次采用云转播的奥运，东京奥运被称为“数字化水平最高的一届”，也是呈现手段最为丰富的一届，数字化背后，正是大量中国技术的参与和支持。 半月谈的微博视频,58,48,267,,
中国国家田径队,8-31 14:41,“谁说黄种人不能拿奥运会前八……”2004年雅典，刘翔赛后的这段感言让很多人铭记于心。2021年东京，苏炳添、巩立姣等#中国田径梦之队# 的田径健儿们用精彩表现让世界记住“中国红”。一起来看由@中国体育 制作的中国田径版本《错位时空》，共同回忆这个美好的夏天。#东京奥运会# 中国国家田径队的微博视频,40,31,375,,
奥林匹克运动会,8-18 17:04,"🎞️✨ 这份属于奥林匹克的记忆，永远值得我们去回味！

👉点击【网页链接】进入奥林匹克官网【重温东京2020】主页，观看东京奥运会所有比赛回放和赛事集锦，重温每一个陪伴我们度过这个奥运盛夏的精彩瞬间！

#奥运会# ｜#共同强大#",4,4,50,,
凤凰网视频,8小时前,【太精彩！#全红婵第一跳不亚于东京奥运会# 】今天（9月6日）早上十四运会跳水项目正式在西安奥体中心游泳跳水馆开赛！11点，在刚刚开始的女子团体10米跳台比赛中大家期待的奥运冠军全红婵上场，第一跳依然展现了完美的“水花消失术”。#十四运会跳水比赛太精彩# 解说评价这一跳“丝毫不亚于在东京奥运会上的那组动作”。陕视新闻的微博视频,12,15,78,,
漆园隐吏在巴黎,8-15 18:27,#东京奥运会# 110米男子跨栏牙买加选手座错了公交车，很可能参加不了半决赛。这个时候他遇上了一名志愿者，志愿者借给他打车的钱，这位选手得以即时赶到体育场热身。最后这名选手得到了金牌，特意过来感谢这名志愿者并还钱。 漆园隐吏在巴黎的微博视频,50,31,650,,
新浪体育,8-13 15:47,#围观奥运会##奥运会视觉大片#东京奥运会落幕，用镜头记录体育盛会的精彩瞬间。(@李欣摄影 ),228,11,88,,
界外编辑部,8-13 15:30,"一泪惹人怜[苦涩]

#围观奥运会# #东京奥运会开幕式#",30,74,973,,
奥林匹克运动会,9-4 12:00,"【东京奥运会精彩瞬间】凯蒂·莱德基🇺🇸

长距离的泳池争夺，美国名将莱德基展现出了令人惊叹的实力！让我们一起回顾她在1500米和800米自由泳的比赛高光时刻！

#奥运会# ｜#共同强大# 奥林匹克运动会的微博视频",9,3,78,,
央视网体育,8-14 11:22,【#东京奥组委主席称中国运动员太强大了#】在13日播出的《新闻1+1》中，白岩松连线东京奥组委主席桥本圣子。桥本圣子首先向中国代表团对于东京奥运会的支持表达了感谢，同时她表示：“我觉得中国队太强大了。虽然中国代表团没有获得奖牌榜第一名，但每一次奥运会中国代表团都在奖牌榜名列前茅。” 央视网体育的微博视频,35,82,1158,,
中国国家田径队,8-31 14:41,“谁说黄种人不能拿奥运会前八……”2004年雅典，刘翔赛后的这段感言让很多人铭记于心。2021年东京，苏炳添、巩立姣等#中国田径梦之队# 的田径健儿们用精彩表现让世界记住“中国红”。一起来看由@中国体育 制作的中国田径版本《错位时空》，共同回忆这个美好的夏天。#东京奥运会# 中国国家田径队的微博视频,40,31,375,,
熊本科技,8-13 12:03,"回顾一下今年东京奥运会中国参赛者使用手机表格一览

网络图源",198,671,3233,,
笙畅学长,9-2 17:00,#盘点东京奥运会上的中国技术# 太厉害了👍中国科技在世界舞台上的作用越来越显著，东京奥运会的数字化背后靠的是我国技术的参与和支持！🇨🇳中国加油 ！,1143,128,3762,,
央视网体育,8-13 17:18,【#意大利百米冠军退出今年剩余比赛# 】#围观奥运会# 东京奥运会男子100米和男子4x100米接力双料金牌得主、意大利飞人雅各布斯公开了个人的赛程安排，他将不再参加今年的剩余比赛，奥运会后首次亮相定在2022年的田径室内赛。,25,122,623,,
孤烟暮蝉,8-24 22:53,秃噜皮的东京奥运金牌 日本的工匠精神与躬匠精神#东京奥运会##v光计划# 孤烟暮蝉的微博视频,177,118,1059,,
四川观察,7小时前,【太精彩！#全红婵第一跳不亚于东京奥运会# 】今天（9月6日）早上十四运会跳水项目正式在西安奥体中心游泳跳水馆开赛！11点，在刚刚开始的女子团体10米跳台比赛中大家期待的奥运冠军全红婵上场，第一跳依然展现了完美的“水花消失术”。#十四运会跳水比赛太精彩# 解说评价这一跳“丝毫不亚于在东京奥运会上的那组动作”。陕视新闻的微博视频,7,12,91,,
界外编辑部,8-13 10:30,"“没有什么能够阻挡，你对自由的向往。”

#围观奥运会# #东京奥运会#",24,20,335,,
郑鹏飞皮划艇,8-25 19:43,今天终于收到了奥运证书相框，针不戳#围观奥运会##东京奥运会# 鄂州,4,54,638,,
界外编辑部,8-13 20:00,"这篮球真好看

#围观奥运会# #东京奥运会#",59,95,847,,
中国国家田径队,8-24 17:47,东京奥运会，男子4X100米接力决赛，汤星强、谢震业、苏炳添、吴智强组成的中国队跑出37.79秒，追平全国纪录，获得第四名。赛后，四位运动员和教练做客《体坛英豪》节目时，也共同复盘了决赛的表现，对于大家关心的交接棒等问题做出回答。总结调整，未来可期，祝福中国男子接力队！#中国田径梦之队# 中国国家田径队的微博视频,35,42,384,,
你真是可爱der,9-5 21:25,"全红婵东京奥运会赛后采访
央视频-体坛风云会（7个视频）
采访顺序有调整
————————
可以看到全小婵评价自己
“教练好大个，感觉自己好小只！”😆 你真是可爱der的微博视频",110,94,862,,
宋晓瓜,9-2 21:38,"#盘点东京奥运会上的中国技术#

这次奥运会，中国实实在在把东京奥运会变成中国奥运会，不是看扁，而是事实摆在眼前。

首先，本届奥运会使用的比赛器材，约有一半来自中国体育制造商。产品和服务涵盖了乒乓球、羽毛球、举重、跆拳道、射箭、3X3篮球等比赛项目。

另外，四个重竞技场馆器材来自中国，而颁奖台五环均为山东制造。LOGO以及内部框架，全部由山东济南企业“邦德激光”的切割设备制作而成。该工艺结合激光科技与可再生资源，30cm规格的五环标志仅需数秒即可切割出来，精度可达头发丝的十分之一。

这么多中国制造让东京奥运会变成中国的主场，让我国的奥运健儿们能更有冲劲，因为国家一直在！

#微博新知博主# 廊坊·大厂回族自治县",11,19,64,,
环球旅游攻略咖,9-2 17:08,这次日本东京奥运会和残奥会是首次采用了云转播，比赛中中国奥运健儿大放异彩，中国技术亮眼赛场，在这数字化的背后，是我们大量中国技术的参与和支持！ #盘点东京奥运会上的中国技术#,110,103,108,,
围观奥运会,8-7 13:34,"【#如何评价本届东京奥运会# 】东京#奥运会# 明日就将落下帷幕。

国际奥委会主席巴赫表示，在新冠疫情持续扩大的形势下举办的奥运会取得了成功：“世界上数十亿人把本届奥运会的成功视为了不起的希望的讯息。”

新冠疫情之下，延期了一年举行的奥运会，你如何评价？ #围观奥运会#",30,280,5964,,
阿狸,8-30 12:00,"#东京奥运会#你印象最深刻的是什么？
好奇为什么今天要提到奥运会吗？小伙伴们可以猜猜看哦，猜对的小伙伴有礼物！下午还有惊喜等着你们",16,59,114,,
人民体育,8-20 11:10,#盘带# 【李和林：东京女排赛场上的中国MC】东京奥运会女排的赛场上，中国队的比赛中很多观众都发现，在现场听到了《小苹果》、《最炫民族风》、《青春修炼手册》等耳熟能详的中文歌曲，尤其是女排最后一场对阵阿根廷的比赛后播放的《阳光总在风雨后》更是十分的应景，令人动容。而这些中文歌曲会出现在奥运赛场，都离不开东京奥运会上唯一一位中国MC李和林的努力，今天最新一期的盘带，我们连线李和林，一起听听他的东京奥运之旅。#微博放映厅# #围观奥运会# 人民体育的微博视频,25,5,63,,
不正经制片人,8-7 16:15,"#日本人如何评价东京奥运会#
就算反对
看见烟花还是要拍照

#奥运会# 不正经制片人的微博视频",403,207,1045,,
莪叫蓝姐,8-28 20:15,#东京奥运会# 羽毛球男单小组赛 科登vs伍家朗 超清全场 莪叫蓝妹的微博视频,9,4,36,,
七折林,9-2 16:56,#盘点东京奥运会上的中国技术#东京奥运会和残奥会首次采用云转播，中国奥运健儿大放异彩，中国技术也表现亮眼，数字化的背后，正是大量中国技术的参与和支持！ 半月谈的微博视频,1027,1121,0,,
参考消息,8-7 21:50,【#东京奥运会网友造词大会#】随着东京奥运会进入尾声，留给大家深刻印象的，除了中国健儿的高光时刻和拼搏精神，还有他们个性化的表情和自我表达。当运动员们上热搜的方式渐渐“走偏”，网友们大开脑洞，创造出许多热词，这些热词，真的很上头↓↓ #如果用一个词形容东京奥运会#,24,17,112,,
Houson猴姆,8-12 12:12,戴利#Tom Daley#参加完#东京奥运会#后回国首个街拍美图大赏！还秀肌肉哦！💪,36,213,1053,,
绿茵神将,8-16 02:22,"大家都知道本届#东京奥运会#美国男篮继续领衔冠军。那么这届美国男篮冠军可以分到多少奖励呢？下面我们就来了解一下吧：
据称本届奥运每个男篮球员，可以分得3.75个W的美币奖励，这样就有网友说，足球运动员一个抵得上整队了，但是毕竟是为国争得荣誉，也不能单纯用金钱来衡量吧。",14,14,14,,
加拿大大使馆官方微博,8-24 16:54,#东京残奥会今日开幕#《闪耀》是2020东京奥运会加拿大残奥代表团的官方歌曲。它由加拿大作曲家保罗·德罗萨创作，歌曲最初的灵感来自他两岁时因车祸瘫痪的表弟。“我是看着表弟的日常挣扎长大的……我创作了这首歌以表达我对他和他的生活，或任何与残疾共存的人的感受。”正如歌词所写：相信你足够强大，闪耀，像星星一般闪耀。相信加拿大残奥代表团将在奥运舞台上闪耀，也期待所有#东京残奥运会#运动员们的闪耀！ 加拿大大使馆官方微博的微博视频,19,53,125,,
